,,,,,,,
SGJ College Koday-Mandvi,,,,,,,
Library Register,,,,,,,
Library Book Register,,,,,,,
,,,,,,,
,,,,,,,
Sr. No.,Unique No.,Title of the Book,Name of Author,Publication,No of Copies,Category,Rack No.
1,705,MARKETING RESEARCH,"A PARSHURAMAN, DHRUV GREWAL, R KRISHANAN",BIZTANTRA PUBLICATION,,Marketing,
2,683,MARKETING RESEARCH,"A PARSHURAMAN, DHRUV GREWAL, R KRISHANAN",BIZTANTRA PUBLICATION,,Marketing,
3,1210,MARKETING IN PUBLIC SECTOR,"PHILIP KETLER, NANCY LEE",WHATSON SCHOOL PUBLISHING,,Marketing,
4,117,THE HANDBOOK FOR MEDIA HANDLING ,JOHN CLARE ,INFINITY  BOOKS,,Marketing,
5,178,THE HANDBOOK FOR MEDIA HANDLING ,JOHN CLARE ,INFINITY  BOOKS,,Marketing,
6,663,"RURAL MARKETING ENVIRONMENT, PROBLEMS AND STRATEGIES",T P GOPALASWAMY ,VIKAS PUBLISHING HOUSE,,Marketing,
7,650,"RURAL MARKETING ENVIRONMENT, PROBLEMS AND STRATEGIES",T P GOPALASWAMY ,VIKAS PUBLISHING HOUSE,,Marketing,
8,686,"RURAL MARKETING ENVIRONMENT, PROBLEMS AND STRATEGIES",T P GOPALASWAMY ,VIKAS PUBLISHING HOUSE,,Marketing,
9,692,MARKETING TOOL KIT AN ENCYCLOPIDIA OF FRESH AND TESTED IDEAS,NICK ROBINSON,JAICO PUBLISHING HOUSE ,,Marketing,
10,43,MARKETING IN PUBLIC SECTOR,"PHILIP KETLER, NANCY LEE",WHATSON SCHOOL PUBLISHING,,Marketing,
11,633,FOUNDATIONS OF MARKETING ,"DAVID JOBBER, JOHN FAHY",TATA MCGRAW HILL,,Marketing,
12,699,FOUNDATIONS OF MARKETING ,"DAVID JOBBER, JOHN FAHY",TATA MCGRAW HILL,,Marketing,
13,647,DIRECT MARKETING ,ROBERT MCCOY,JAICO PUBLISHING HOUSE ,,Marketing,
14,648,DIRECT MARKETING ,ROBERT MCCOY,JAICO PUBLISHING HOUSE ,,Marketing,
15,1206,"RURAL MARKETING ENVIRONMENT, PROBLEMS AND STRATEGIES",T P GOPALASWAMY ,VIKAS PUBLISHING HOUSE,,Marketing,
16,684,MARKETING RESEARCH,G C BERI ,TATA MCGRAW HILL,,Marketing,
17,Z2170,MARKETING RESEARCH,G C BERI ,TATA MCGRAW HILL,,Marketing,
18,725,MANAGING INDIAN BRANDS,S RAMESH KUMAR ,VIKAS PUBLISHING HOUSE,,Marketing,
